subject_id,pain_type,pain_label,frame_type,image_name,image_path,eyebrow_distance,left_eye_opening,right_eye_opening,mouth_opening,mouth_width,left_cheek_elevation,right_cheek_elevation,left_eyebrow_angle,right_eyebrow_angle,face_aspect_ratio
S001,Algometer Pain,2,Colour frames,Colour-S001A 03.jpg,C:\Users\MSI\Desktop\pain_dataset\Pictures\Modified\S001\Algometer Pain\Colour frames\Colour-S001A 03.jpg,344.30154308771745,27.202164307696233,29.632420727854267,36.65460381114887,186.74069339582968,-104.87013798952103,-115.66017884016037,158.7465437628356,157.77779223339675,0.8007254471422398
S001,Algometer Pain,2,Colour frames,Colour-S001A 04.jpg,C:\Users\MSI\Desktop\pain_dataset\Pictures\Modified\S001\Algometer Pain\Colour frames\Colour-S001A 04.jpg,343.5835167378707,24.28375354713364,28.295153558891474,45.12211003988714,188.44718657275152,-104.42334651947021,-115.88875257968903,158.52368213280474,157.79400603510462,0.8009883716265264
S001,Algometer Pain,2,Colour frames,Colour-S001A 05.jpg,C:\Users\MSI\Desktop\pain_dataset\Pictures\Modified\S001\Algometer Pain\Colour frames\Colour-S001A 05.jpg,344.3591370659833,22.37260257876618,26.836502339594002,65.795659780718,196.61036565492532,-106.4517434835434,-118.51467847824097,158.38831308480235,157.90108817914302,0.7934199586381975
S001,Algometer Pain,2,Colour frames,Colour-S001A 06.jpg,C:\Users\MSI\Desktop\pain_dataset\Pictures\Modified\S001\Algometer Pain\Colour frames\Colour-S001A 06.jpg,344.6171074602436,15.635148064163898,24.292894637459465,100.62025593330918,201.05017284441635,-108.30452299118042,-120.38980650901794,157.7197090017915,158.3276910758726,0.7832628025354245
S001,Algometer Pain,2,Colour frames,Colour-S001A 07.jpg,C:\Users\MSI\Desktop\pain_dataset\Pictures\Modified\S001\Algometer Pain\Colour frames\Colour-S001A 07.jpg,347.9212033735359,17.43569854656441,25.537931975017656,122.82289658223957,199.9089575748531,-110.1160318851471,-123.52453207969666,157.28430535962744,159.281019593806,0.756313227996728
S001,Algometer Pain,2,Colour frames,Colour-S001A 08.jpg,C:\Users\MSI\Desktop\pain_dataset\Pictures\Modified\S001\Algometer Pain\Colour frames\Colour-S001A 08.jpg,346.7634990686735,16.87359976853585,24.160596265432538,143.3026324315545,195.7000447400971,-113.72429555654526,-125.4619751572609,158.0225273738491,158.82894063700567,0.7501379446712132
S001,Algometer Pain,2,Colour frames,Colour-S001A 09.jpg,C:\Users\MSI\Desktop\pain_dataset\Pictures\Modified\S001\Algometer Pain\Colour frames\Colour-S001A 09.jpg,347.034102266815,16.970319143514196,24.201819822765323,144.08505853133545,197.25879965381108,-113.62653994560242,-125.86856997013092,158.0900550237777,158.59846320867598,0.749187379448853
S001,Algometer Pain,2,Colour frames,Colour-S001A 10.jpg,C:\Users\MSI\Desktop\pain_dataset\Pictures\Modified\S001\Algometer Pain\Colour frames\Colour-S001A 10.jpg,354.66112697294176,19.01862640840389,23.382216405562218,143.78905074621693,198.52920871687616,-112.57068729400635,-127.5478287935257,157.69137446221194,158.42141026214733,0.7535643885405001
S001,Algometer Pain,2,Colour frames,Colour-S001A 11.jpg,C:\Users\MSI\Desktop\pain_dataset\Pictures\Modified\S001\Algometer Pain\Colour frames\Colour-S001A 11.jpg,352.6995804569622,21.422512066929997,22.771761483293673,145.57589674327195,194.04773923252648,-111.35693746805191,-125.84583789110184,157.75331920546537,158.9106433174951,0.7623014512875753
S001,Algometer Pain,2,Colour frames,Colour-S001A 12.jpg,C:\Users\MSI\Desktop\pain_dataset\Pictures\Modified\S001\Algometer Pain\Colour frames\Colour-S001A 12.jpg,350.35901441380486,20.11386872859302,23.268324328577204,142.9048839376475,195.86711322014588,-112.21101415157318,-126.45500135421753,158.13147495120725,159.25808382006386,0.7521797013319222
